,Player,Span,Mat,Inns,Balls,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 13,
2,SCJ Broad,(England),2006-2016,121,121,6109,5364,178,30.13,5.26,34.3,9,1,
3,NW Bracken,(Australia),2001-2009,116,116,5759,4240,174,24.36,4.41,33,5,2,
4,Imran Tahir,(South Africa),2011-2019,107,104,5541,4297,173,24.83,4.65,32,7,3,
5,JDP Oram,(Newzealand),2001-2012,160,154,6911,5047,173,29.17,4.38,39.9,3,2,
6,IK Pathan,(INDIA),2004-2012,120,118,5855,5142,173,29.72,5.26,33.8,5,2,
7,MA Starc,(Australia),2010-2019,85,85,4315,3611,172,20.99,5.02,25,11,7,
8,NLTC Perera,(Srilanka),2009-2019,161,152,5711,5556,171,32.49,5.83,33.3,5,4,
9,A Flintoff,(England),1999-2009,141,119,5624,4121,169,24.38,4.39,33.2,6,2,
10,SR Watson,(Australia),2002-2015,190,163,6466,5342,168,31.79,4.95,38.4,3,0,
11,CH Gayle,(West Indies),1999-2019,301,199,7424,5926,167,35.48,4.78,44.4,3,1,
12,TA Boult,(Newzealand),2012-2019,89,89,4884,4111,164,25.06,5.05,29.7,7,5,
13,Mushtaq Ahmed,(Pakistan),1989-2003,144,142,7543,5361,161,33.29,4.26,46.8,3,1,
14,Sir RJ Hadlee,(Newzealand),1973-1990,115,112,6182,3407,158,21.56,3.3,39.1,1,5,
15,Shoaib Malik,(Pakistan),1999-2019,287,217,7958,6192,158,39.18,4.66,50.3,1,0,
16,MD Marshall,(West Indies),1980-1992,136,134,7175,4233,157,26.96,3.53,45.7,6,0,
17,A Nehra,(INDIA),2001-2011,120,120,5751,4981,157,31.72,5.19,36.6,5,2,
18,M Prabhakar,(INDIA),1984-1996,130,127,6360,4534,157,28.87,4.27,40.5,4,2,
19,GB Hogg,(Australia),1996-2008,123,113,5564,4188,156,26.84,4.51,35.6,3,2,
20,SR Tendulkar,(INDIA),1989-2012,463,270,8054,6850,154,44.48,5.1,52.2,4,2,
21,BAW Mendis,(Srilanka),2008-2015,87,84,4154,3324,152,21.86,4.8,27.3,7,3,
22,UDU Chandana,(Srilanka),1994-2007,147,136,6142,4818,151,31.9,4.7,40.6,4,1,
23,R Ashwin,(INDIA),2010-2017,111,109,6021,4937,150,32.91,4.91,40.1,1,0,
24,SE Bond,(Newzealand),2002-2010,82,80,4295,3070,147,20.88,4.28,29.2,7,4,
25,J Garner,(West Indies),1977-1987,98,98,5330,2752,146,18.84,3.09,36.5,2,3,
26,IT Botham,(England),1976-1992,116,115,6271,4139,145,28.54,3.96,43.2,3,0,
27,TM Odoyo,(KENYA),1996-2014,136,129,5649,4335,145,29.89,4.6,38.9,5,0,
28,AU Rashid,(England),2009-2019,99,93,4851,4547,143,31.79,5.62,33.9,7,2,
29,JN Gillespie,(Australia),1996-2005,97,96,5144,3611,142,25.42,4.21,36.2,3,3,
30,MA Holding,(West Indies),1976-1987,102,102,5473,3034,142,21.36,3.32,38.5,5,1,
31,CR Woakes,(England),2011-2019,99,95,4638,4327,142,30.47,5.59,32.6,9,3,
32,EJ Chatfield,(Newzealand),1979-1989,114,112,6065,3618,140,25.84,3.57,43.3,3,1,
33,Mohammad Hafeez,(Pakistan),2003-2019,218,177,7733,5400,139,38.84,4.18,55.6,1,0,
34,HDPK Dharmasena,(Srilanka),1994-2004,141,134,7009,4998,138,36.21,4.27,50.7,1,0,
35,SB Styris,(Newzealand),1999-2011,188,161,6114,4839,137,35.32,4.74,44.6,4,1,
36,Mohammed Shami,(INDIA),2013-2019,73,72,3709,3400,136,25,5.5,27.2,8,1,
37,MF Maharoof,(Srilanka),2004-2016,109,105,4640,3789,135,28.06,4.89,34.3,4,2,
38,LE Plunkett,(England),2005-2019,89,87,4137,4010,135,29.7,5.81,30.6,6,1,
39,DW Fleming,(Australia),1994-2001,88,88,4619,3402,134,25.38,4.41,34.4,4,1,
40,JO Holder,(West Indies),2013-2019,112,108,5179,4777,133,35.91,5.53,38.9,4,2,
41,Rashid Khan,(Afghanistan),2015-2019,71,67,3558,2467,133,18.54,4.16,26.7,4,4,
42,A Symonds,(Australia),1998-2009,198,158,5935,4955,133,37.25,5,44.6,2,1,
43,P Utseya,(Zimbabve),2004-2015,164,160,8571,6239,133,46.9,4.36,64.4,2,1,
44,Abdul Qadir,(Pakistan),1983-1993,104,100,5100,3454,132,26.16,4.06,38.6,4,2,
45,B Kumar,(INDIA),2012-2019,114,113,5451,4568,132,34.6,5.02,41.2,4,1,
46,M Dillon,(West Indies),1997-2005,108,107,5480,4218,130,32.44,4.61,42.1,3,3,
47,Mohammad Nabi,(Afghanistan),2009-2019,124,120,5919,4231,130,32.54,4.28,45.5,3,0,
48,RJ Shastri,(INDIA),1981-1992,150,136,6613,4650,129,36.04,4.21,51.2,2,1,
49,JE Taylor,(West Indies),2003-2017,90,88,4341,3780,128,29.53,5.22,33.9,3,1,
0,DK Morrison,(Newzealand),1987-1996,96,95,4586,3470,126,27.53,4.53,36.3,1,2,
1,Rubel Hossain,(Bangladesh),2009-2019,101,99,4540,4300,126,34.12,5.68,36,7,1,
2,Mohammad Rafique,(Bangladesh),1995-2007,125,124,6414,4739,125,37.91,4.43,51.3,3,1,
3,KAJ Roach,(West Indies),2008-2019,92,90,4459,3763,124,30.34,5.06,35.9,3,3,
4,Azhar Mahmood,(Pakistan),1996-2007,143,139,6242,4813,123,39.13,4.62,50.7,2,3,
5,Mohammad Sami,(Pakistan),2001-2015,87,85,4284,3567,121,29.47,4.99,35.4,3,1,
6,AG Cremer,(Zimbabve),2009-2018,96,95,4680,3597,119,30.22,4.61,39.3,4,3,
7,IR Bishop,(West Indies),1988-1997,84,83,4332,3127,118,26.5,4.33,36.7,7,2,
8,IVA Richards,(West Indies),1975-1991,187,131,5644,4228,118,35.83,4.49,47.8,1,2,
9,K Rabada,(South Africa),2015-2019,75,73,3842,3199,117,27.34,4.99,32.8,6,1,
10,R Rampaul,(West Indies),2003-2015,92,88,4033,3434,117,29.35,5.1,34.4,8,2,
11,Dawlat Zadran,(Afghanistan),2011-2019,82,80,3769,3423,115,29.76,5.44,32.7,3,0,
12,PAJ DeFreitas,(England),1987-1997,103,103,5712,3775,115,32.82,3.96,49.6,1,0,
13,AD Mathews,(Srilanka),2008-2019,214,155,5083,3907,115,33.97,4.61,44.2,1,1,
14,I Sharma,(INDIA),2007-2016,80,78,3733,3563,115,30.98,5.72,32.4,6,0,
15,Wahab Riaz,(Pakistan),2008-2019,89,88,4209,4011,115,34.87,5.71,36.6,4,1,
16,WJ Cronje,(South Africa),1992-2000,188,153,5357,3966,114,34.78,4.44,46.9,1,1,
17,MC Snedden,(Newzealand),1980-1990,93,90,4525,3237,114,28.39,4.29,39.6,1,0,
18,GR Larsen,(Newzealand),1990-1999,121,119,6368,4000,113,35.39,3.76,56.3,1,0,
19,KJ O'Brien,(Ireland),2006-2019,142,113,4224,3672,113,32.49,5.21,37.3,5,0,
20,PD Collingwood,(England),2001-2011,197,151,5186,4294,111,38.68,4.96,46.7,3,1,
21,Mudassar Nazar,(Pakistan),1977-1989,122,104,4855,3432,111,30.91,4.24,43.7,1,1,
22,Yuvraj Singh,(INDIA),2000-2017,304,161,5048,4294,111,38.68,5.1,45.4,2,1,
23,Junaid Khan,(Pakistan),2011-2019,76,76,3601,3216,110,29.23,5.35,32.7,4,0,
24,Naved0ul0Hasan,(Pakistan),2003-2010,74,72,3466,3221,110,29.28,5.57,31.5,6,1,
25,DR Tuffey,(Newzealand),2000-2010,94,92,4333,3534,110,32.12,4.89,39.3,2,0,
26,TT Bresnan,(England),2006-2015,85,84,4221,3813,109,34.98,5.42,38.7,3,1,
27,GP Wickramasinghe,(Srilanka),1990-2002,134,132,5720,4321,109,39.64,4.53,52.4,1,0,
28,SP O'Donnell,(Australia),1985-1991,87,87,4350,3102,108,28.72,4.27,40.2,5,1,
29,DNT Zoysa,(Srilanka),1997-2007,95,93,4259,3213,108,29.75,4.52,39.4,2,1,
30,RAS Lakmal,(Srilanka),2009-2019,85,83,3824,3478,107,32.5,5.45,35.7,3,0,
31,Mustafizur Rahman,(Bangladesh),2015-2019,56,55,2813,2458,107,22.97,5.24,26.2,3,5,
32,PA de Silva,(Srilanka),1984-2003,308,156,5148,4177,106,39.4,4.86,48.5,2,0,
33,TM Dilshan,(Srilanka),1999-2016,330,204,5880,4778,106,45.07,4.87,55.4,3,0,
34,A Nel,(South Africa),2001-2008,79,76,3801,2935,106,27.68,4.63,35.8,3,1,
35,PR Reiffel,(Australia),1992-1999,92,92,4732,3096,106,29.2,3.92,44.6,5,0,
36,UT Yadav,(INDIA),2010-2018,75,73,3558,3565,106,33.63,6.01,33.5,4,0,
37,GW Flower,(Zimbabve),1992-2010,221,156,5462,4225,104,40.62,4.64,52.5,2,0,
38,WB Rankin,(ENG/IRE),2007-2019,73,71,3600,2893,104,27.81,4.82,34.6,4,0,
39,GP Swann,(England),2000-2013,79,76,3809,2888,104,27.76,4.54,36.6,3,1,
40,JJ Bumrah,(INDIA),2016-2019,58,58,3009,2254,103,21.88,4.49,29.2,5,1,
41,DK Lillee,(Australia),1972-1983,63,63,3593,2145,103,20.82,3.58,34.8,5,1,
42,C Pringle,(Newzealand),1990-1995,64,64,3314,2459,103,23.87,4.45,32.1,2,1,
43,ST Finn,(England),2011-2017,69,67,3550,2996,102,29.37,5.06,34.8,4,2,
44,E Chigumbura,(Zimbabve),2004-2018,213,132,4339,4274,101,42.31,5.91,42.9,1,0,
45,WKM Benjamin,(West Indies),1986-1995,85,85,4442,3079,100,30.79,4.15,44.4,0,1,
46,SC Ganguly,(INDIA),1992-2007,311,171,4561,3849,100,38.49,5.06,45.6,1,2,
47,RA Harper,(West Indies),1983-1996,105,99,5175,3431,100,34.31,3.97,51.7,3,0,
48,CK Langeveldt,(South Africa),2001-2010,72,71,3489,2962,100,29.62,5.09,34.8,1,2,
49,RW Price,(Zimbabve),2002-2012,102,99,5374,3575,100,35.75,3.99,53.7,1,0,
0,NJ Astle,(Newzealand),1995-2007,223,159,4850,3809,99,38.47,4.71,48.9,1,0,
1,Kuldeep Yadav,(INDIA),2017-2019,56,54,2952,2455,99,24.79,4.98,29.8,4,1,
2,CJ McKay,(Australia),2009-2014,59,59,2965,2364,97,24.37,4.78,30.5,4,2,
3,PL Taylor,(Australia),1987-1992,83,80,3937,2740,97,28.24,4.17,40.5,1,0,
4,N Boje,(South Africa),1995-2005,115,108,4541,3415,96,35.57,4.51,47.3,2,1,
5,PJ Cummins,(Australia),2011-2019,58,58,3033,2603,96,27.11,5.14,31.5,5,1,
6,JP Faulkner,(Australia),2013-2017,69,67,3211,2962,96,30.85,5.53,33.4,4,0,
7,V Sehwag,(INDIA),1999-2013,251,146,4392,3853,96,40.13,5.26,45.7,1,0,
8,PA Strang,(Zimbabve),1994-2001,95,89,4351,3173,96,33.05,4.37,45.3,2,2,
9,TL Chatara,(Zimbabve),2013-2019,70,70,3431,2905,95,30.57,5.08,36.1,1,0,
10,PS de Villiers,(South Africa),1992-1997,83,82,4422,2636,95,27.74,3.57,46.5,2,0,
11,AJ Hall,(South Africa),1999-2007,88,78,3341,2515,95,26.47,4.51,35.1,3,1,
12,WD Parnell,(South Africa),2009-2017,65,61,2911,2738,94,29.12,5.64,30.9,3,2,
13,SO Tikolo,(KENYA),1996-2014,135,99,4016,3215,94,34.2,4.8,42.7,2,0,
14,LL Tsotsobe,(South Africa),2009-2013,61,60,2964,2347,94,24.96,4.75,31.5,7,0,
15,MJ Henry,(Newzealand),2014-2019,52,50,2703,2437,92,26.48,5.4,29.3,7,2,
16,SP Narine,(West Indies),2011-2016,65,65,3540,2435,92,26.46,4.12,38.4,4,2,
17,AC Cummins,(CAN/WI),1991-2007,76,74,3767,2877,91,31.61,4.58,41.3,2,1,
18,CB Mpofu,(Zimbabve),2004-2019,83,82,3900,3513,91,38.6,5.4,42.8,2,1,
19,BP Patterson,(West Indies),1986-1993,59,58,3050,2206,90,24.51,4.33,33.8,1,1,
20,BL Cairns,(Newzealand),1974-1985,78,75,4015,2717,89,30.52,4.06,45.1,2,1,
21,GH Dockrell,(Ireland),2010-2019,87,85,4232,3327,89,37.38,4.71,47.5,4,0,
22,Saleem Malik,(Pakistan),1982-1999,283,120,3505,2959,89,33.24,5.06,39.3,1,1,
23,MN Samuels,(West Indies),2000-2018,207,134,5091,4127,89,46.37,4.86,57.2,0,0,
24,TM Alderman,(Australia),1981-1991,65,65,3371,2056,88,23.36,3.65,38.3,1,2,
25,GF Lawson,(Australia),1980-1989,79,79,4259,2592,88,29.45,3.65,48.3,1,0,
26,GJ Whittall,(Zimbabve),1993-2003,147,112,4060,3481,88,39.55,5.14,46.1,1,0,
27,AME Roberts,(West Indies),1975-1983,56,56,3123,1771,87,20.35,3.4,35.8,2,1,
28,MM Patel,(INDIA),2006-2011,70,67,3154,2603,86,30.26,4.95,36.6,3,0,
29,Aamer Sohail,(Pakistan),1990-2000,156,125,4836,3703,85,43.56,4.59,56.8,1,0,
30,YS Chahal,(INDIA),2016-2019,50,49,2659,2246,85,26.42,5.06,31.2,2,2,
31,IJ Harvey,(Australia),1997-2004,73,70,3279,2577,85,30.31,4.71,38.5,4,0,
32,RM Hogg,(Australia),1979-1985,71,67,3677,2418,85,28.44,3.94,43.2,5,0,
33,JR Ratnayeke,(Srilanka),1982-1990,78,76,3573,2866,85,33.71,4.81,42,1,0,
34,ME Waugh,(Australia),1988-2002,244,120,3687,2938,85,34.56,4.78,43.3,1,1,
35,MM Ali,(England),2014-2019,101,95,4654,4089,84,48.67,5.27,55.4,1,0,
36,CD Collymore,(West Indies),1999-2007,84,80,4074,2924,83,35.22,4.3,49,1,1,
37,Mohammad Irfan,(Pakistan),2010-2016,60,60,3109,2549,83,30.71,4.91,37.4,2,0,
38,PV Simmons,(West Indies),1987-1999,143,103,3880,2876,83,34.65,4.44,46.7,2,0,
39,Hasan Ali,(Pakistan),2016-2019,53,51,2548,2381,82,29.03,5.6,31,1,3,
40,MJ McClenaghan,(Newzealand),2013-2016,48,45,2336,2313,82,28.2,5.94,28.4,6,1,
41,CG Rackemann,(Australia),1983-1991,52,52,2791,1833,82,22.35,3.94,34,3,1,
42,JEC Franklin,(Newzealand),2001-2013,110,97,3848,3354,81,41.4,5.22,47.5,0,1,
43,Mohammad Amir,(Pakistan),2009-2019,61,60,3013,2400,81,29.62,4.77,37.1,1,1,
44,DJG Sammy,(West Indies),2004-2015,126,119,4956,3851,81,47.54,4.66,61.1,1,0,
45,RGD Willis,(England),1973-1984,64,64,3595,1968,80,24.6,3.28,44.9,4,0,
46,CR Matthews,(South Africa),1991-1997,56,55,3003,1975,79,25,3.94,38,3,0,
47,A Ranatunga,(Srilanka),1982-1999,269,135,4710,3757,79,47.55,4.78,59.6,1,0,
48,AJ Bichel,(Australia),1997-2004,67,66,3257,2463,78,31.57,4.53,41.7,1,2,
49,IDR Bradshaw,(West Indies),2004-2007,62,62,3172,2299,78,29.47,4.34,40.6,0,0,
0,PJ Ongondo,(KENYA),1999-2011,79,79,3102,2350,78,30.12,4.54,39.7,1,1,
1,RMH Binny,(INDIA),1980-1987,72,67,2957,2260,77,29.35,4.58,38.4,3,0,
2,Iftikhar Anjum,(Pakistan),2004-2010,62,60,2960,2430,77,31.55,4.92,38.4,2,1,
3,P Kumar,(INDIA),2007-2012,68,67,3242,2774,77,36.02,5.13,42.1,3,0,
4,R McLaren,(South Africa),2009-2014,54,51,2403,2102,77,27.29,5.24,31.2,5,0,
5,JE Emburey,(England),1980-1993,61,61,3425,2346,76,30.86,4.1,45,2,0,
6,SJ Harmison,(England),2002-2009,58,57,2899,2481,76,32.64,5.13,38.1,2,1,
7,RD King,(West Indies),1998-2005,50,50,2603,1807,76,23.77,4.16,34.2,2,0,
8,Mahmudullah,(Bangladesh),2007-2019,185,134,4090,3527,76,46.4,5.17,53.8,0,0,
9,RJ Ratnayake,(Srilanka),1982-1993,70,70,3575,2712,76,35.68,4.55,47,1,1,
10,GB Brent,(Zimbabve),1996-2008,70,69,3390,2776,75,37.01,4.91,45.2,3,0,
11,RJ Peterson,(South Africa),2002-2014,79,74,3278,2680,75,35.73,4.9,43.7,3,0,
12,S Sreesanth,(INDIA),2005-2011,53,52,2476,2508,75,33.44,6.07,33,2,1,
13,HMRKB Herath,(Srilanka),2004-2015,71,67,3242,2362,74,31.91,4.37,43.8,1,0,
14,TJ Murtagh,(Ireland),2012-2019,58,57,3020,2290,74,30.94,4.54,40.8,4,1,
15,W Watson,(Newzealand),1986-1994,61,61,3251,2247,74,30.36,4.14,43.9,1,0,
16,AR Border,(Australia),1979-1994,273,87,2661,2071,73,28.36,4.66,36.4,0,0,
17,RS Kalpage,(Srilanka),1992-1999,86,81,3960,2975,73,40.75,4.5,54.2,2,0,
18,S Madan Lal,(INDIA),1974-1987,67,64,3164,2137,73,29.27,4.05,43.3,2,0,
19,J Botha,(South Africa),2005-2012,78,75,3823,2916,72,40.5,4.57,53,1,0,
20,GS Chappell,(Australia),1971-1983,74,67,3108,2097,72,29.12,4.04,43.1,0,2,
21,JR Hazlewood,(Australia),2010-2018,44,43,2294,1811,72,25.15,4.73,31.8,1,3,
22,PL Symcox,(South Africa),1993-1999,80,80,3991,2762,72,38.36,4.15,55.4,1,0,
23,DBL Powell,(West Indies),2002-2009,55,55,2850,2239,71,31.53,4.71,40.1,2,0,
24,Sohail Tanvir,(Pakistan),2007-2014,62,60,2949,2566,71,36.14,5.22,41.5,3,1,
25,SC Williams,(Zimbabve),2005-2019,131,107,4080,3300,71,46.47,4.85,57.4,1,0,
26,EA Brandes,(Zimbabve),1987-1999,59,59,2828,2266,70,32.37,4.8,40.4,1,2,
27,BM McMillan,(South Africa),1991-1998,78,75,3623,2589,70,36.98,4.28,51.7,1,0,
28,NN Odhiambo,(KENYA),2006-2014,69,67,2808,2585,70,36.92,5.52,40.1,1,0,
29,AD Russell,(West Indies),2011-2019,56,55,2290,2229,70,31.84,5.84,32.7,5,0,
30,BA Stokes,(England),2011-2019,95,80,2912,2920,70,41.71,6.01,41.6,1,1,
31,AR Caddick,(England),1993-2003,54,53,2937,1965,69,28.47,4.01,42.5,3,0,
32,JP Duminy,(South Africa),2004-2019,199,135,3513,3143,69,45.55,5.36,50.9,1,0,
33,SB Joshi,(INDIA),1996-2001,69,67,3386,2509,69,36.36,4.44,49,1,1,
34,MJ Santner,(Newzealand),2015-2019,69,64,3079,2510,69,36.37,4.89,44.6,0,1,
35,Shafiul Islam,(Bangladesh),2010-2019,59,59,2486,2453,69,35.55,5.92,36,4,0,
36,RP Singh,(INDIA),2005-2011,58,57,2565,2343,69,33.95,5.48,37.1,2,0,
37,RR Singh,(INDIA),1989-2001,136,117,3734,2985,69,43.26,4.79,54.1,0,2,
38,CPH Ramanayake,(Srilanka),1986-1995,62,62,2864,2049,68,30.13,4.29,42.1,1,0,
39,HA Varaiya,(KENYA),2006-2014,63,60,2951,2048,68,30.11,4.16,43.3,2,0,
40,MA Ealham,(England),1996-2001,64,62,3227,2197,67,32.79,4.08,48.1,1,2,
41,LH Ferguson,(Newzealand),2016-2019,36,36,1902,1719,67,25.65,5.42,28.3,2,1,
42,JR Hopes,(Australia),2005-2010,84,75,3157,2384,67,35.58,4.53,47.1,0,1,
43,MS Kasprowicz,(Australia),1995-2005,43,42,2225,1674,67,24.98,4.51,33.2,1,2,
44,Khaled Mahmud,(Bangladesh),1998-2006,77,75,3385,2865,67,42.76,5.07,50.5,1,0,
45,C Sharma,(INDIA),1983-1994,65,63,2835,2336,67,34.86,4.94,42.3,0,0,
46,DT Johnston,(Ireland),2006-2013,67,63,2930,2115,66,32.04,4.33,44.3,1,1,
47,CC Lewis,(England),1990-1998,53,49,2625,1942,66,29.42,4.43,39.7,4,0,
48,Maninder Singh,(INDIA),1983-1993,59,57,3133,2066,66,31.3,3.95,47.4,1,0,
49,T Panyangara,(Zimbabve),2004-2016,65,65,3242,3024,65,46.52,5.59,49.8,0,0,
0,AL Phehlukwayo,(South Africa),2016-2019,52,50,2077,1936,65,29.78,5.59,31.9,3,0,
1,C White,(England),1994-2003,51,50,2364,1726,65,26.55,4.38,36.3,1,1,
2,A Zampa,(Australia),2016-2019,48,48,2480,2363,65,36.35,5.71,38.1,1,0,
3,A Mishra,(INDIA),2003-2016,36,34,1917,1511,64,23.6,4.72,29.9,2,2,
4,DJ Nash,(Newzealand),1992-2002,81,78,3416,2622,64,40.96,4.6,53.3,1,0,
5,SM Sharif,(Scotland),2011-2019,44,44,2129,1776,64,27.75,5,33.2,2,1,
6,AR Cusack,(Ireland),2007-2015,59,52,1953,1510,63,23.96,4.63,31,1,1,
7,NM Hauritz,(Australia),2002-2011,58,56,2724,2152,63,34.15,4.74,43.2,2,0,
8,NL McCullum,(Newzealand),2009-2015,84,81,3536,2956,63,46.92,5.01,56.1,0,0,
9,Mujeeb Ur Rahman,(Afghanistan),2017-2019,40,39,2153,1414,63,22.44,3.94,34.1,2,1,
10,AD Mullally,(England),1996-2001,50,49,2699,1728,63,27.42,3.84,42.8,2,0,
11,SLV Raju,(INDIA),1990-1996,53,52,2770,2014,63,31.96,4.36,43.9,2,0,
12,BA Reid,(Australia),1986-1992,61,61,3250,2203,63,34.96,4.06,51.5,0,1,
13,Sarfraz Nawaz,(Pakistan),1973-1984,45,45,2412,1463,63,23.22,3.63,38.2,4,0,
14,DE Bollinger,(Australia),2009-2011,39,39,1942,1482,62,23.9,4.57,31.3,3,2,
15,SW Tait,(Australia),2007-2011,35,34,1688,1461,62,23.56,5.19,27.2,2,0,
16,DT Hondo,(Zimbabve),2001-2005,56,56,2381,2171,61,35.59,5.47,39,3,0,
17,DR Smith,(West Indies),2004-2015,105,73,2726,2285,61,37.45,5.02,44.6,3,1,
18,Syed Rasel,(Bangladesh),2005-2010,52,52,2657,2051,61,33.62,4.63,43.5,1,0,
19,MA Wood,(England),2015-2019,51,50,2585,2385,61,39.09,5.53,42.3,2,0,
20,CJ Anderson,(Newzealand),2013-2017,49,43,1485,1502,60,25.03,6.06,24.7,2,1,
21,FH Edwards,(West Indies),2003-2009,50,49,2138,1812,60,30.2,5.08,35.6,0,2,
22,RM Haq,(Scotland),2006-2015,54,51,2633,1975,60,32.91,4.5,43.8,2,1,
23,JC Tredwell,(England),2010-2015,45,44,2104,1666,60,27.76,4.75,35,3,0,
